impl,kernel,B,T,D,N,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms
B1_naive,depth_attention_naive,1,1,2048,4,0.20060918002855033,0.20004151156172156,0.2239159948658198,0.013833355209681432,0.17783298972062767,0.22741701104678214
B3_two_phase,phase1_interblock,1,1,2048,4,0.19936911790864542,0.19881248590536416,0.22258301032707095,0.012519294895123361,0.1773750118445605,0.24416600354015827
B1_naive,depth_attention_naive,1,1,2048,8,0.2083132995176129,0.2124579914379865,0.22499999613501132,0.014876019618436818,0.17508401651866734,0.2776669862214476
B3_two_phase,phase1_interblock,1,1,2048,8,0.20481546031078324,0.20168749324511737,0.23224999313242733,0.014129809196849318,0.18129200907424092,0.25637500220909715
B1_naive,depth_attention_naive,1,1,2048,16,0.2036778800538741,0.20102100097574294,0.22729201009497046,0.014134086109830905,0.1763329782988876,0.2589579962659627
B3_two_phase,phase1_interblock,1,1,2048,16,0.22104990959633142,0.2091870119329542,0.24945801123976707,0.06370011234452318,0.18491700757294893,0.7978329958859831
B3_two_phase,phase2_ref,1,1,2048,,0.19406447041546926,0.1922295050462708,0.2209999947808683,0.015362928012496604,0.17237497377209365,0.23750000400468707
B4_fused,phase2_fused,1,1,2048,,0.19572703167796135,0.18329100566916168,0.22120799985714257,0.051152373692171856,0.16525000683031976,0.6660830113105476
B1_naive,depth_attention_naive,1,16,512,4,0.20063909731106833,0.19860398606397212,0.2227919758297503,0.01129071320807615,0.1767499779816717,0.23575001978315413
B3_two_phase,phase1_interblock,1,16,512,4,0.22236035962123424,0.21758300135843456,0.234166975133121,0.06236233389803635,0.1897500187624246,0.8278749883174896
B1_naive,depth_attention_naive,1,16,512,8,0.32309076079400256,0.2096459938911721,0.5164580070413649,0.37805443651434417,0.15287499991245568,3.2792910060379654
B3_two_phase,phase1_interblock,1,16,512,8,0.23257453023688868,0.23366650566458702,0.24891700013540685,0.01031718496459522,0.20766700617969036,0.2534580125939101
B1_naive,depth_attention_naive,1,16,512,16,0.22537290933541954,0.21089549409225583,0.2628750225994736,0.07453712890923778,0.19137500203214586,0.9085839847102761
B3_two_phase,phase1_interblock,1,16,512,16,0.26025831000879407,0.258625004789792,0.2768330159597099,0.014327831062504345,0.2299170009791851,0.33412501215934753
B3_two_phase,phase2_ref,1,16,512,,0.1962992100743577,0.19741649157367647,0.21275001927278936,0.010766953624324825,0.17766599194146693,0.2302089997101575
B4_fused,phase2_fused,1,16,512,,0.27826536097563803,0.22995800827629864,0.3795000084210187,0.09597998687064029,0.16537500778213143,0.6800830014981329
B1_naive,depth_attention_naive,1,16,1024,4,0.2036575396778062,0.20045851124450564,0.22774998797103763,0.01185382387899562,0.17954199574887753,0.2359580248594284
B3_two_phase,phase1_interblock,1,16,1024,4,0.24265491898404434,0.23279149900190532,0.25949999690055847,0.07105529774196154,0.208500016015023,0.884625012986362
B1_naive,depth_attention_naive,1,16,1024,8,0.21170706051634625,0.20883299293927848,0.23508400772698224,0.011495232037902411,0.19304201123304665,0.24862500140443444
B3_two_phase,phase1_interblock,1,16,1024,8,0.27396253019105643,0.2603124885354191,0.2918330137617886,0.09160348552227598,0.2367919951211661,1.1217090068385005
B1_naive,depth_attention_naive,1,16,1024,16,0.23318171966820955,0.22847949003335088,0.2621669846121222,0.015920613425920303,0.2091249916702509,0.28120799106545746
B3_two_phase,phase1_interblock,1,16,1024,16,0.31337035121396184,0.30354197951965034,0.3462089807726443,0.06466264831552505,0.27520800358615816,0.9158749890048057
B3_two_phase,phase2_ref,1,16,1024,,0.19680748984683305,0.19766701734624803,0.21791699691675603,0.012874983661828538,0.17654200200922787,0.2608340000733733
